"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"1","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","mmr_rcc","signal","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BRKM5.SA","volat_acao","mmr","mml","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BRKM5.SA","volat_acao","mmr","mml","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BRKM5.SA","volat_acao","mmr","mml","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BRKM5.SA","volat_acao","mml","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","mmr_rcc","signal","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BRKM5.SA","volat_acao","mml","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","mmr_rcc","signal","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BRKM5.SA","volat_ibov","volat_acao","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BRKM5.SA","volat_acao","volat_ibov","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","BRKM5.SA","volat_ibov","volat_acao","mml","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","BRKM5.SA","mml","volat_ibov","volat_acao","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","signal","mmr_rcc","mml_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","BRKM5.SA","mml","volat_acao","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","BRKM5.SA","mml","volat_acao","volat_ibov","mmr","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","BRKM5.SA","mml","volat_acao","mmr","volat_ibov","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","BRKM5.SA","mml","mmr","volat_ibov","volat_acao","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","BRKM5.SA","mml","volat_ibov","volat_acao","mmr","signal","mml_rcc","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","BRKM5.SA","mml","mmr","volat_acao","volat_ibov","mml_rcc","signal","mmr_rcc","roc_acao","cti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","BRKM5.SA","mml","mmr","volat_acao","volat_ibov","signal","mml_rcc","mmr_rcc","roc_acao","roc_ibov",NA,NA,NA,NA,NA,NA,NA,NA,NA
